amostra;tempo_s;normal_g;pista_interna_g;pista_externa_g
143;0,1430;-0,036303;-0,073575;0,050014
144;0,1440;0,054751;0,057554;-0,041586
145;0,1450;-0,006396;-0,057964;0,052681
146;0,1460;-0,014697;0,000963;-0,060253
147;0,1470;0,038562;0,048045;0,023558
148;0,1480;-0,005385;-0,015513;-0,010888
149;0,1490;0,034498;0,032388;0,022152
150;0,1500;0,016600;-0,036126;0,019305
151;0,1510;-0,018614;0,018985;0,000688
152;0,1520;0,008561;-0,036742;0,001502
153;0,1530;0,039825;0,041461;-0,033473
154;0,1540;-0,031708;-0,001168;0,028281
155;0,1550;0,036375;0,013134;-0,029699
156;0,1560;0,020804;0,005688;0,049512
157;0,1570;-0,001144;-0,035603;-0,021064
158;0,1580;0,020892;0,034852;-0,017724
159;0,1590;-0,002343;-0,016406;0,080792
160;0,1600;-0,020842;0,026599;-0,060783
161;0,1610;0,042551;-0,003924;0,054613
162;0,1620;0,008025;0,005528;-0,010797
163;0,1630;0,018868;0,005511;-0,005994
164;0,1640;0,031528;-0,029380;0,012569
165;0,1650;-0,026916;0,080123;0,013202
166;0,1660;0,009699;-0,110594;-0,023234
167;0,1670;0,022655;0,119303;0,028096
168;0,1680;-0,009204;-0,072352;-0,044379
169;0,1690;0,050625;0,079427;0,049900
170;0,1700;0,012809;-0,041464;-0,014989
171;0,1710;-0,031713;-0,019360;0,020728
172;0,1720;0,030884;0,035983;-0,017259
173;0,1730;-0,007471;-0,032224;-0,012470
174;0,1740;0,008682;0,052556;0,006607
175;0,1750;0,058616;-0,039204;-0,030116
176;0,1760;-0,023810;0,036023;0,070692
177;0,1770;0,008307;-0,014383;-0,042150
178;0,1780;0,023228;-0,014474;0,045735
179;0,1790;-0,047507;0,044561;-0,025685
180;0,1800;0,061130;-0,019229;-0,044435
181;0,1810;0,012733;0,036486;0,077480
182;0,1820;-0,004596;-0,062844;-0,065272
183;0,1830;0,040249;0,037529;0,074251
184;0,1840;-0,023061;-0,015471;-0,056978
185;0,1850;0,004651;0,029786;0,054527
186;0,1860;0,013570;0,010182;-0,025911
187;0,1870;0,006262;-0,008645;-0,020389
188;0,1880;0,006811;0,011690;0,044289
189;0,1890;0,045934;-0,039276;-0,030064
190;0,1900;0,001464;0,015790;0,039694
191;0,1910;-0,003991;-0,006486;-0,034036
192;0,1920;0,022758;0,066724;0,018167
193;0,1930;-0,044686;-0,036261;0,006040
194;0,1940;0,039314;0,036505;-0,017099
195;0,1950;0,034200;-0,033252;0,032008
196;0,1960;-0,013250;-0,034431;-0,027075
197;0,1970;0,058254;0,076337;0,006839
198;0,1980;-0,045868;-0,064852;0,074465
199;0,1990;0,015177;0,084244;-0,075004
200;0,2000;0,017409;-0,036200;0,072842
201;0,2010;0,004386;0,024271;-0,068191
202;0,2020;0,025575;-0,034203;0,059887
203;0,2030;0,021995;0,010588;-0,020475
204;0,2040;-0,032794;0,000831;0,011016
205;0,2050;0,021884;-0,008484;0,012757
206;0,2060;0,021602;0,067980;-0,051267
207;0,2070;0,001428;-0,059782;0,045118
208;0,2080;0,051259;0,062482;-0,028459
209;0,2090;-0,028169;-0,059264;0,027352
210;0,2100;-0,024014;-0,005482;0,010860
211;0,2110;0,051002;0,047591;-0,005844
212;0,2120;-0,024207;-0,012492;-0,015042
213;0,2130;0,030637;0,043992;-0,000515
214;0,2140;0,030842;-0,035779;0,003272
215;0,2150;-0,007462;-0,009137;0,033095
216;0,2160;0,023730;-0,013435;-0,016946
217;0,2170;-0,011286;0,018953;0,009353
218;0,2180;-0,018845;0,024540;-0,023761
219;0,2190;0,054208;0,010392;0,021878
220;0,2200;0,007379;-0,002166;0,001815
221;0,2210;-0,006013;-0,016423;0,014662
222;0,2220;0,018803;0,006991;0,001990
223;0,2230;0,013673;-0,052215;-0,017767
224;0,2240;-0,011324;0,081417;0,015599
225;0,2250;0,028123;-0,031116;-0,027231
226;0,2260;-0,001452;0,045274;0,011088
227;0,2270;-0,010339;-0,032748;0,033647
228;0,2280;0,066045;0,005412;0,008676
229;0,2290;-0,046540;0,003636;0,012425
230;0,2300;0,035484;-0,021572;-0,001613
231;0,2310;0,013368;0,036477;-0,040230
232;0,2320;-0,009985;-0,038412;0,026381
233;0,2330;0,050575;0,087708;-0,016007
234;0,2340;-0,003777;-0,081340;0,046779
235;0,2350;-0,003281;0,045529;-0,018935
236;0,2360;0,012994;0,027036;0,029273
237;0,2370;-0,007357;-0,067232;-0,018585
238;0,2380;0,009957;0,081617;-0,019543
239;0,2390;0,051030;-0,049795;0,001156
240;0,2400;0,005918;0,061986;0,001281
241;0,2410;0,020445;-0,053434;0,027622
242;0,2420;-0,015648;0,021157;0,005850
243;0,2430;-0,024028;-0,011395;-0,012133
244;0,2440;0,047379;0,034240;0,001146
245;0,2450;0,007274;0,009467;-0,041146
246;0,2460;0,012011;-0,057646;0,057387
247;0,2470;0,044763;0,088018;-0,052072
248;0,2480;-0,029406;-0,096711;0,103967
249;0,2490;0,014208;0,052058;-0,070627
250;0,2500;0,018891;0,020011;0,026730
251;0,2510;-0,009683;-0,011792;-0,049327
252;0,2520;0,043284;0,046893;0,034166
253;0,2530;0,000319;-0,070922;0,017043
254;0,2540;0,006219;0,019401;0,008870
255;0,2550;0,024916;-0,000160;-0,013776
256;0,2560;-0,000856;0,027718;0,017114
257;0,2570;-0,021000;0,004141;-0,017663
258;0,2580;0,045106;0,006631;0,002193
259;0,2590;0,025982;-0,007252;-0,002430
260;0,2600;-0,028824;-0,028721;0,023879
261;0,2610;0,062159;0,038571;0,004569
262;0,2620;-0,036226;-0,031049;-0,006882
263;0,2630;-0,006603;0,053907;0,007885
264;0,2640;0,053743;-0,022309;-0,014998
265;0,2650;-0,031391;0,017171;-0,014313
266;0,2660;0,059075;-0,022884;0,079219
267;0,2670;0,021272;0,003128;-0,074795
268;0,2680;-0,031650;0,043476;0,114944
269;0,2690;0,020982;-0,039409;-0,092787
270;0,2700;-0,004317;0,080697;0,083072
271;0,2710;0,003488;-0,094084;-0,104718
272;0,2720;0,057115;0,097655;0,068960
273;0,2730;0,007118;-0,087782;-0,017527
274;0,2740;-0,015887;0,035722;0,007128
275;0,2750;0,036493;0,007347;0,024013
276;0,2760;-0,030958;0,001933;-0,015672
277;0,2770;0,014120;0,038849;-0,001022
278;0,2780;0,062023;-0,028240;-0,010176
279;0,2790;-0,040535;0,014118;0,011722
280;0,2800;0,036616;-0,048084;0,011236
281;0,2810;-0,005133;0,036817;0,008144
282;0,2820;-0,007013;-0,005010;-0,016430
283;0,2830;0,043489;0,045728;-0,002559
284;0,2840;-0,005118;0,007559;-0,000631
285;0,2850;0,012520;-0,044457;0,027557
286;0,2860;0,030362;0,019111;0,000231
287;0,2870;-0,028752;-0,026243;0,020196
288;0,2880;0,023657;0,026016;-0,035791
289;0,2890;0,015308;0,010433;0,000701
290;0,2900;0,007463;0,011579;0,004275
291;0,2910;0,017711;0,004390;0,005512
292;0,2920;0,010331;-0,015612;0,035132
293;0,2930;-0,004303;-0,009905;-0,014833
294;0,2940;0,009570;-0,019457;-0,018128
295;0,2950;0,024245;0,085466;0,040491
296;0,2960;-0,037691;-0,055480;-0,038958
297;0,2970;0,060118;0,054845;0,013176
298;0,2980;-0,001935;-0,061634;0,032757
299;0,2990;0,014754;0,034358;-0,018816
300;0,3000;0,031389;0,006482;0,021442
301;0,3010;-0,030214;-0,040848;-0,022948
302;0,3020;0,015370;0,077699;0,015408
303;0,3030;0,018644;-0,046268;-0,018662
304;0,3040;0,012543;0,072085;0,041670
305;0,3050;0,029121;-0,095966;-0,044162
306;0,3060;0,002078;0,086223;0,055704
307;0,3070;-0,023277;-0,083273;-0,023420
308;0,3080;0,034147;0,075121;-0,001599
309;0,3090;-0,002091;-0,018552;-0,008495
310;0,3100;0,010512;0,019807;-0,003100
311;0,3110;0,052446;0,031091;0,014039
312;0,3120;-0,035362;-0,067008;0,017638
313;0,3130;0,014742;0,020207;-0,009766
314;0,3140;0,023933;0,010706;0,009118
315;0,3150;-0,029469;0,006795;-0,020667
316;0,3160;0,050975;0,013615;-0,007334
317;0,3170;0,034810;-0,010110;0,014436
318;0,3180;-0,047010;0,006880;0,034143
319;0,3190;0,048318;-0,008883;-0,011511
320;0,3200;-0,018351;0,013187;0,018302
321;0,3210;0,006001;-0,015227;-0,051213
322;0,3220;0,038080;0,051272;0,034936
323;0,3230;-0,002785;-0,035375;-0,022766
324;0,3240;0,003983;-0,000736;0,027272
325;0,3250;0,046200;-0,000661;0,018156
326;0,3260;-0,023056;0,003419;-0,015411
327;0,3270;-0,009609;0,041881;0,018827
328;0,3280;0,041943;-0,018823;-0,035852
329;0,3290;-0,020342;-0,001525;0,038821
330;0,3300;0,034176;-0,016980;-0,052415
331;0,3310;0,031884;0,017114;0,090529
332;0,3320;-0,024300;-0,010237;-0,091906
333;0,3330;0,033318;0,015714;0,066115
334;0,3340;-0,006448;0,036112;0,008836
335;0,3350;-0,019300;-0,044645;-0,011734
336;0,3360;0,061379;0,065553;0,024025
337;0,3370;0,002002;-0,111087;-0,005859
338;0,3380;0,016831;0,112471;-0,026881
339;0,3390;0,012528;-0,037207;0,048388
340;0,3400;-0,025498;0,005527;-0,013626
341;0,3410;0,027798;0,027922;-0,006495
342;0,3420;0,016712;-0,031483;0,006045
343;0,3430;0,010601;0,055519;-0,010021
344;0,3440;0,019473;-0,075905;0,018206
345;0,3450;0,007755;0,061806;0,003194
346;0,3460;-0,031742;-0,042992;0,008499
347;0,3470;0,047784;0,059812;-0,015973
348;0,3480;0,000026;-0,014726;-0,000477
349;0,3490;0,012499;-0,030789;0,003031
350;0,3500;0,048492;0,059215;-0,014243
351;0,3510;-0,045421;-0,102503;0,062659
352;0,3520;0,019076;0,107229;-0,070881
353;0,3530;0,020754;-0,032495;0,069204
354;0,3540;-0,021881;0,042142;-0,042373
355;0,3550;0,058695;-0,004990;-0,001906
356;0,3560;0,001920;-0,057956;0,039129
357;0,3570;-0,005567;0,037008;-0,036478
358;0,3580;0,031910;-0,013662;0,053219
359;0,3590;-0,029990;0,009788;-0,067951
360;0,3600;0,022878;0,030307;0,067738
361;0,3610;0,014235;0,013017;-0,049474
362;0,3620;0,003711;-0,020949;0,030080
363;0,3630;-0,000435;-0,010436;0,028822
364;0,3640;0,045731;-0,012705;-0,040590
365;0,3650;-0,007755;0,003312;0,038611
366;0,3660;-0,009427;0,060010;-0,027361
367;0,3670;0,029496;-0,035776;-0,000796
368;0,3680;-0,028082;0,027760;0,017783
369;0,3690;0,058334;-0,009070;-0,007571
370;0,3700;-0,000441;0,006345;0,047187
371;0,3710;-0,006957;-0,038039;-0,056117
372;0,3720;0,021834;0,039770;0,042953
373;0,3730;-0,011476;0,000682;-0,011575
374;0,3740;0,018751;-0,000483;-0,011250
375;0,3750;0,038857;0,052047;0,037857
376;0,3760;-0,011230;-0,084268;-0,037962
377;0,3770;-0,010060;0,078493;0,057651
378;0,3780;0,030607;-0,072336;-0,023953
379;0,3790;-0,037807;0,044046;0,001214
380;0,3800;0,050627;0,002135;-0,001668
381;0,3810;0,034922;0,029799;-0,042074
382;0,3820;-0,013037;-0,023644;0,060094
383;0,3830;0,033538;-0,014804;-0,023050
384;0,3840;-0,024220;0,021034;0,031582
385;0,3850;-0,033987;-0,025180;-0,008154
386;0,3860;0,074600;0,066650;-0,008829
387;0,3870;-0,024923;-0,038553;-0,007223
388;0,3880;0,040473;0,002427;-0,015471
389;0,3890;0,013396;0,017764;0,038803
390;0,3900;-0,002024;-0,044623;0,009578
391;0,3910;0,008484;0,048911;-0,014110
392;0,3920;-0,003550;-0,004533;-0,000545
393;0,3930;0,001154;0,033727;-0,007904
394;0,3940;0,036342;-0,044048;0,014289
395;0,3950;0,012726;0,032224;0,015196
396;0,3960;-0,007797;-0,061803;-0,005120
397;0,3970;0,026179;0,052382;0,013334
398;0,3980;-0,005496;0,019976;-0,023465
399;0,3990;-0,012095;-0,023923;0,040150
400;0,4000;0,041771;0,024996;-0,081763
401;0,4010;0,004752;-0,039265;0,085503
402;0,4020;-0,010441;0,047768;-0,021525
403;0,4030;0,056364;-0,028681;0,037872
404;0,4040;-0,046587;0,013619;-0,002223
405;0,4050;0,039294;0,020963;0,004320
406;0,4060;0,004234;-0,012689;-0,043439
407;0,4070;0,005285;0,024137;0,033070
408;0,4080;0,057201;-0,075634;-0,038752
409;0,4090;-0,025478;0,130569;0,065777
410;0,4100;-0,008875;-0,107629;-0,008803
411;0,4110;0,011776;0,097452;0,022061
412;0,4120;0,000252;-0,069100;-0,034096
413;0,4130;0,030867;0,049755;0,000412
414;0,4140;0,036566;-0,005641;-0,013411
415;0,4150;-0,024166;-0,047295;0,017597
416;0,4160;0,023155;0,043558;0,017443
417;0,4170;-0,003222;-0,007400;0,002526
418;0,4180;-0,029166;0,036910;0,000200
419;0,4190;0,072315;-0,016303;-0,009322
420;0,4200;-0,014359;0,000287;-0,029122
421;0,4210;0,001103;-0,009358;0,059313
422;0,4220;0,025928;-0,027549;-0,057844
423;0,4230;-0,027845;0,053760;0,088851
424;0,4240;0,029184;-0,024565;-0,078811
425;0,4250;0,023315;0,076944;0,043129
426;0,4260;-0,012422;-0,080351;-0,038519
427;0,4270;0,019703;0,031297;0,038621
428;0,4280;0,011233;-0,008381;0,024158
429;0,4290;-0,018717;-0,017711;-0,035111
430;0,4300;0,026592;0,036640;0,023037
431;0,4310;0,010210;0,002318;-0,018999
432;0,4320;-0,006643;0,018554;0,021561
433;0,4330;0,031545;-0,030593;-0,007122
434;0,4340;0,018878;0,002439;0,021492
435;0,4350;-0,036197;-0,013408;-0,011487
436;0,4360;0,050566;0,044747;0,022442
437;0,4370;-0,036753;-0,003402;-0,039972
438;0,4380;0,010206;-0,019270;0,042171
439;0,4390;0,057709;0,069392;-0,058788
440;0,4400;-0,016695;-0,097699;0,075887
441;0,4410;0,022573;0,092996;-0,003171
442;0,4420;0,002170;-0,067167;-0,008414
443;0,4430;-0,023936;0,062925;0,041022
444;0,4440;0,020044;-0,009251;-0,069721
445;0,4450;0,025380;0,030268;0,086168
446;0,4460;-0,000042;-0,024101;-0,090282
447;0,4470;0,037122;-0,026384;0,075913
448;0,4480;-0,019267;0,041623;-0,021844
449;0,4490;-0,000364;-0,069070;0,011533
450;0,4500;0,025546;0,104449;0,001112
451;0,4510;-0,007812;-0,046348;-0,021090
452;0,4520;0,041994;0,042957;-0,003146
453;0,4530;0,022908;-0,016510;0,025129
454;0,4540;-0,043042;-0,061046;0,009948
455;0,4550;0,025948;0,060607;0,005654
456;0,4560;0,008142;-0,029598;-0,020953
457;0,4570;-0,004786;0,062032;0,005279
458;0,4580;0,055807;-0,027527;-0,028407
459;0,4590;-0,010698;0,005155;0,034963
460;0,4600;0,012715;0,003638;0,011771
461;0,4610;0,006116;-0,026620;0,018578
462;0,4620;-0,018980;0,033297;-0,011218
463;0,4630;0,024585;-0,006293;-0,007632
464;0,4640;0,024419;0,024841;-0,025265
465;0,4650;-0,001095;-0,034431;0,037533
466;0,4660;0,030007;0,035089;-0,016530
467;0,4670;0,013044;-0,068122;0,044045
468;0,4680;-0,026680;0,091010;-0,029020
469;0,4690;0,006852;-0,030071;0,010085
470;0,4700;0,029291;0,007066;0,027707
471;0,4710;-0,029553;-0,005953;-0,021059
472;0,4720;0,068516;-0,000328;0,009645
473;0,4730;-0,000610;0,016856;0,037526
474;0,4740;-0,015064;-0,029280;-0,032713
475;0,4750;0,046841;0,056577;0,037438
476;0,4760;-0,061874;-0,050202;-0,030955
477;0,4770;0,035991;0,056915;0,022764
478;0,4780;0,038061;-0,034323;-0,031420
479;0,4790;-0,004556;-0,004274;0,045926
480;0,4800;0,027901;0,051104;-0,035763
481;0,4810;-0,017175;-0,055125;0,064537
482;0,4820;-0,006397;0,046149;-0,040829
483;0,4830;0,036588;-0,020817;-0,000895
484;0,4840;0,010986;0,040626;0,005496
485;0,4850;-0,004135;-0,042436;-0,021452
486;0,4860;0,043374;0,021955;0,032490
487;0,4870;-0,031993;-0,009680;-0,003105
488;0,4880;0,015069;0,010863;0,013056
489;0,4890;0,026893;0,054790;-0,008215
490;0,4900;-0,016184;-0,084571;-0,018363
491;0,4910;0,042734;0,054817;-0,003881
492;0,4920;0,011766;-0,025826;0,037546
493;0,4930;-0,033238;-0,004709;0,002717
494;0,4940;0,042971;0,043283;-0,020237
495;0,4950;-0,009002;-0,002243;0,030009
496;0,4960;0,014612;0,014691;-0,035267
497;0,4970;0,021716;-0,027411;0,020242
498;0,4980;-0,003356;0,005594;0,001767
499;0,4990;0,009996;-0,037448;0,018883
500;0,5000;0,037277;0,047660;0,002095
501;0,5010;-0,021600;0,007994;-0,013266
502;0,5020;0,003690;0,015005;0,004517
503;0,5030;0,036152;0,005877;-0,004123
504;0,5040;-0,020976;-0,038869;0,035511
505;0,5050;0,035171;0,009252;-0,060331
506;0,5060;0,024671;-0,012416;0,095420
507;0,5070;-0,025833;0,039298;-0,124034
508;0,5080;0,033828;-0,003864;0,131065
509;0,5090;-0,009028;0,020133;-0,066697
510;0,5100;0,015810;-0,001065;0,088975
511;0,5110;0,033044;-0,036093;-0,047416
