amostra;tempo_s;leitura_ingenua_X098_DE_time_g;leitura_corrigida_X099_DE_time_g;diferenca_g
76;0,0760;-0,030698;0,018297;0,048995
77;0,0770;-0,015767;-0,030856;-0,015089
78;0,0780;0,090545;0,020905;-0,069640
79;0,0790;-0,054645;0,030200;0,084845
80;0,0800;0,052028;0,002652;-0,049376
81;0,0810;0,003996;0,032279;0,028282
82;0,0820;-0,026976;-0,012403;0,014574
83;0,0830;0,042284;-0,017998;-0,060282
84;0,0840;-0,003992;0,029289;0,033280
85;0,0850;0,015108;-0,004521;-0,019629
86;0,0860;0,008459;0,036094;0,027635
87;0,0870;0,020678;0,036510;0,015832
88;0,0880;-0,020551;-0,042858;-0,022307
89;0,0890;0,040636;0,024073;-0,016563
90;0,0900;-0,003041;-0,007162;-0,004121
91;0,0910;0,001371;0,004795;0,003424
92;0,0920;0,034139;0,048210;0,014071
93;0,0930;-0,016861;0,005178;0,022039
94;0,0940;0,035878;0,007188;-0,028690
95;0,0950;0,002150;0,006018;0,003868
96;0,0960;-0,019709;-0,018359;0,001350
97;0,0970;0,057814;0,002023;-0,055791
98;0,0980;0,007707;0,052451;0,044745
99;0,0990;0,009180;-0,011188;-0,020368
100;0,1000;-0,000570;0,024584;0,025155
101;0,1010;-0,007781;0,023134;0,030915
102;0,1020;0,007103;-0,027388;-0,034491
103;0,1030;0,045581;-0,001373;-0,046953
104;0,1040;-0,001896;0,018448;0,020344
105;0,1050;0,027822;-0,012558;-0,040380
106;0,1060;0,028490;0,078960;0,050470
107;0,1070;-0,050421;-0,007618;0,042803
108;0,1080;0,045337;-0,009781;-0,055119
109;0,1090;0,025822;0,009516;-0,016306
110;0,1100;-0,026216;-0,027961;-0,001746
111;0,1110;0,071149;0,021238;-0,049911
112;0,1120;-0,035248;0,047857;0,083105
113;0,1130;0,002878;0,000178;-0,002700
114;0,1140;0,064389;0,001727;-0,062662
115;0,1150;-0,042362;0,015742;0,058103
116;0,1160;0,056397;-0,031065;-0,087463
117;0,1170;-0,002392;0,043656;0,046048
118;0,1180;-0,011983;0,002794;0,014777
119;0,1190;0,034370;-0,004425;-0,038794
120;0,1200;-0,007228;0,046291;0,053518
121;0,1210;-0,000223;-0,025931;-0,025708
122;0,1220;0,034808;-0,009184;-0,043992
123;0,1230;0,020776;0,054566;0,033790
124;0,1240;-0,017059;-0,020477;-0,003419
125;0,1250;0,054754;0,031298;-0,023455
126;0,1260;-0,029858;0,011964;0,041823
127;0,1270;-0,019015;-0,033985;-0,014969
128;0,1280;0,075333;0,047295;-0,028037
129;0,1290;-0,033012;-0,005190;0,027823
130;0,1300;0,051180;-0,012675;-0,063855
131;0,1310;0,026644;0,033277;0,006633
132;0,1320;-0,033661;0,017896;0,051557
133;0,1330;0,029630;-0,004565;-0,034195
134;0,1340;-0,014327;0,033877;0,048204
135;0,1350;0,021982;-0,023950;-0,045933
136;0,1360;0,045080;-0,008179;-0,053259
137;0,1370;-0,005962;0,064331;0,070293
138;0,1380;-0,030900;-0,039201;-0,008301
139;0,1390;0,055352;0,016812;-0,038540
140;0,1400;-0,011160;0,066254;0,077413
141;0,1410;0,034350;-0,046807;-0,081157
142;0,1420;0,035906;0,033995;-0,001911
143;0,1430;-0,038448;0,003784;0,042231
144;0,1440;0,027352;-0,004815;-0,032168
145;0,1450;0,008794;0,046015;0,037221
146;0,1460;-0,029332;-0,022917;0,006415
147;0,1470;0,077376;-0,004436;-0,081812
148;0,1480;0,001799;0,037492;0,035693
149;0,1490;-0,000589;0,008860;0,009448
150;0,1500;0,020416;0,021058;0,000642
151;0,1510;-0,019009;0,024051;0,043060
152;0,1520;0,015367;-0,051663;-0,067030
153;0,1530;0,034423;0,026150;-0,008273
154;0,1540;-0,021029;0,029058;0,050087
155;0,1550;0,030682;-0,012765;-0,043447
156;0,1560;0,038043;0,059852;0,021809
157;0,1570;-0,032156;-0,013933;0,018223
158;0,1580;0,024736;-0,002173;-0,026908
159;0,1590;0,024366;0,020887;-0,003479
160;0,1600;-0,048620;-0,023535;0,025085
161;0,1610;0,089172;0,017057;-0,072115
162;0,1620;-0,008992;0,050015;0,059007
163;0,1630;-0,013225;-0,008837;0,004388
164;0,1640;0,050378;0,003473;-0,046905
165;0,1650;-0,040514;0,016508;0,057022
166;0,1660;0,055907;-0,023926;-0,079833
167;0,1670;0,021252;0,034454;0,013202
168;0,1680;-0,027533;0,014098;0,041631
169;0,1690;0,026826;-0,001605;-0,028431
170;0,1700;0,014912;0,034015;0,019103
171;0,1710;-0,023676;0,008225;0,031901
172;0,1720;0,052410;-0,043719;-0,096130
173;0,1730;0,028754;0,053115;0,024361
174;0,1740;-0,012748;-0,025124;-0,012376
175;0,1750;0,038037;0,052518;0,014480
176;0,1760;-0,033550;0,026238;0,059788
177;0,1770;-0,011498;-0,014687;-0,003188
178;0,1780;0,087158;0,001863;-0,085294
179;0,1790;-0,018581;0,001866;0,020447
180;0,1800;0,008743;-0,018305;-0,027047
181;0,1810;0,053501;0,049634;-0,003868
182;0,1820;-0,048973;0,025881;0,074854
183;0,1830;0,059914;0,010815;-0,049100
184;0,1840;-0,019091;0,012521;0,031612
185;0,1850;-0,001710;-0,031566;-0,029856
186;0,1860;0,050038;-0,006873;-0,056911
187;0,1870;0,007617;0,061041;0,053425
188;0,1880;-0,010132;-0,020219;-0,010087
189;0,1890;0,017090;0,041643;0,024553
190;0,1900;0,013132;0,022055;0,008923
191;0,1910;-0,003921;-0,052570;-0,048648
192;0,1920;0,056017;0,054409;-0,001608
193;0,1930;-0,028471;-0,009943;0,018529
194;0,1940;0,021035;-0,012663;-0,033699
195;0,1950;0,039429;0,057549;0,018120
196;0,1960;-0,065315;-0,018446;0,046869
197;0,1970;0,069132;0,021332;-0,047801
198;0,1980;0,023923;0,016493;-0,007430
199;0,1990;0,007710;-0,018629;-0,026339
200;0,2000;0,030581;0,020769;-0,009812
201;0,2010;-0,031912;0,014346;0,046258
202;0,2020;-0,000914;-0,000566;0,000348
203;0,2030;0,049981;0,028318;-0,021663
204;0,2040;-0,001214;0,018896;0,020110
205;0,2050;0,026899;-0,038476;-0,065375
206;0,2060;0,019509;0,031789;0,012279
207;0,2070;-0,028678;0,017213;0,045890
208;0,2080;0,050180;-0,015493;-0,065673
209;0,2090;0,005465;0,073107;0,067642
210;0,2100;-0,006380;-0,027243;-0,020863
211;0,2110;0,053789;0,002422;-0,051367
212;0,2120;-0,009299;0,009028;0,018327
213;0,2130;-0,006965;-0,010161;-0,003196
214;0,2140;0,027164;0,041924;0,014760
215;0,2150;0,008338;0,017263;0,008926
216;0,2160;0,045695;-0,022762;-0,068457
217;0,2170;0,009029;0,022247;0,013218
218;0,2180;-0,016190;0,021796;0,037985
219;0,2190;0,019191;-0,032160;-0,051351
220;0,2200;0,021325;0,066908;0,045583
221;0,2210;-0,012254;-0,021382;-0,009128
222;0,2220;0,032455;-0,019079;-0,051534
223;0,2230;0,013190;0,045502;0,032312
224;0,2240;0,012473;-0,021617;-0,034090
225;0,2250;0,036073;0,022868;-0,013205
226;0,2260;-0,006616;0,059691;0,066307
227;0,2270;-0,042314;-0,053548;-0,011235
228;0,2280;0,085175;0,020596;-0,064579
229;0,2290;-0,028434;0,009654;0,038089
230;0,2300;0,036574;-0,022561;-0,059135
231;0,2310;0,041466;0,065992;0,024526
232;0,2320;-0,024127;-0,001187;0,022941
233;0,2330;0,027102;-0,008507;-0,035610
234;0,2340;-0,003672;0,034084;0,037756
235;0,2350;0,000553;-0,022617;-0,023171
236;0,2360;0,063683;-0,002043;-0,065726
237;0,2370;0,001974;0,045913;0,043939
238;0,2380;-0,017909;0,001835;0,019744
239;0,2390;0,025604;-0,006863;-0,032467
240;0,2400;-0,003717;0,049016;0,052732
241;0,2410;0,038785;-0,028346;-0,067132
242;0,2420;0,044625;0,018047;-0,026578
243;0,2430;-0,040696;0,002975;0,043670
244;0,2440;0,033780;-0,014225;-0,048005
245;0,2450;0,010625;0,072097;0,061472
246;0,2460;-0,016318;-0,004396;0,011922
247;0,2470;0,061053;-0,013981;-0,075035
248;0,2480;-0,005940;0,016824;0,022763
249;0,2490;0,028738;-0,011745;-0,040483
250;0,2500;0,030844;0,021020;-0,009824
251;0,2510;-0,031560;0,019338;0,050898
252;0,2520;0,019988;0,020616;0,000629
253;0,2530;0,027098;0,007855;-0,019243
254;0,2540;0,016241;0,009393;-0,006848
255;0,2550;0,013886;-0,049796;-0,063682
256;0,2560;0,024133;0,048124;0,023990
257;0,2570;-0,005584;0,026886;0,032469
258;0,2580;0,030093;0,005384;-0,024709
259;0,2590;0,003855;0,040283;0,036429
260;0,2600;-0,014623;-0,040969;-0,026346
261;0,2610;0,053927;0,000139;-0,053789
262;0,2620;0,011943;0,038678;0,026735
263;0,2630;-0,001936;-0,037003;-0,035067
264;0,2640;0,046031;0,057569;0,011538
265;0,2650;-0,036445;0,009516;0,045961
266;0,2660;0,053592;0,007709;-0,045883
267;0,2670;0,021334;0,012054;-0,009280
268;0,2680;-0,004643;-0,014653;-0,010010
269;0,2690;0,024818;-0,004712;-0,029530
270;0,2700;0,009541;0,031572;0,022031
271;0,2710;-0,021509;0,012594;0,034102
272;0,2720;0,055640;0,002959;-0,052682
273;0,2730;0,022136;0,054730;0,032594
274;0,2740;-0,001052;-0,030721;-0,029669
275;0,2750;0,044686;-0,003577;-0,048263
276;0,2760;-0,034513;0,029088;0,063601
277;0,2770;0,007344;-0,013181;-0,020525
278;0,2780;0,068249;0,047140;-0,021109
279;0,2790;-0,032268;0,016153;0,048421
280;0,2800;0,050300;-0,014718;-0,065017
281;0,2810;0,022624;0,013926;-0,008697
282;0,2820;-0,037797;-0,010062;0,027735
283;0,2830;0,066183;0,029110;-0,037073
284;0,2840;-0,009520;0,040136;0,049655
285;0,2850;0,008471;-0,023348;-0,031819
286;0,2860;0,039625;-0,005054;-0,044679
287;0,2870;-0,017638;0,041544;0,059182
288;0,2880;0,016614;-0,014182;-0,030795
289;0,2890;0,032711;0,026498;-0,006213
290;0,2900;-0,009642;0,039034;0,048676
291;0,2910;0,015212;-0,044189;-0,059401
292;0,2920;0,044646;0,046219;0,001573
293;0,2930;-0,022824;-0,006516;0,016308
294;0,2940;0,014344;-0,038736;-0,053080
295;0,2950;0,046325;0,096185;0,049860
296;0,2960;-0,050822;-0,020188;0,030633
297;0,2970;0,064969;-0,010044;-0,075013
298;0,2980;0,015386;0,040353;0,024967
299;0,2990;-0,008768;-0,046990;-0,038221
300;0,3000;0,066628;0,051501;-0,015127
301;0,3010;-0,036197;0,014708;0,050905
302;0,3020;0,004201;-0,015320;-0,019521
303;0,3030;0,033710;0,027114;-0,006596
304;0,3040;0,010777;0,017034;0,006257
305;0,3050;0,038726;-0,018434;-0,057160
306;0,3060;0,024861;0,013288;-0,011573
307;0,3070;-0,042160;0,030583;0,072744
308;0,3080;0,038386;-0,009086;-0,047472
309;0,3090;0,017897;0,039276;0,021379
310;0,3100;-0,010875;-0,007526;0,003349
311;0,3110;0,079733;-0,016258;-0,095991
312;0,3120;-0,014610;0,041478;0,056088
313;0,3130;-0,024199;-0,030119;-0,005921
314;0,3140;0,063882;0,030790;-0,033093
315;0,3150;-0,046816;0,044693;0,091509
316;0,3160;0,052535;-0,014266;-0,066801
317;0,3170;0,042666;0,012727;-0,029939
318;0,3180;-0,025006;-0,011451;0,013555
319;0,3190;0,036488;-0,016470;-0,052958
320;0,3200;-0,000308;0,040841;0,041149
321;0,3210;-0,010849;0,025047;0,035896
322;0,3220;0,033446;0,008727;-0,024719
323;0,3230;0,030337;0,028749;-0,001587
324;0,3240;-0,022242;-0,037913;-0,015670
325;0,3250;0,068179;0,009402;-0,058777
326;0,3260;-0,020106;0,042199;0,062305
327;0,3270;-0,021798;-0,024646;-0,002848
328;0,3280;0,055961;0,046605;-0,009356
329;0,3290;-0,025503;0,007078;0,032581
330;0,3300;0,027124;-0,025717;-0,052841
331;0,3310;0,074754;0,038617;-0,036137
332;0,3320;-0,050581;-0,016924;0,033658
333;0,3330;0,039001;0,018386;-0,020615
334;0,3340;-0,009270;0,029565;0,038835
335;0,3350;0,000617;0,002438;0,001820
336;0,3360;0,049110;0,004429;-0,044682
337;0,3370;0,006551;0,012993;0,006442
338;0,3380;-0,003701;-0,014250;-0,010548
339;0,3390;0,031849;0,009065;-0,022784
340;0,3400;-0,011419;0,039349;0,050768
341;0,3410;0,010018;-0,001595;-0,011613
342;0,3420;0,057673;0,034541;-0,023132
343;0,3430;-0,024226;0,014066;0,038291
344;0,3440;0,009151;-0,055890;-0,065041
345;0,3450;0,035596;0,047627;0,012031
346;0,3460;-0,051242;-0,011608;0,039634
347;0,3470;0,071039;0,022644;-0,048395
348;0,3480;0,021368;0,050433;0,029065
349;0,3490;-0,018851;-0,012768;0,006083
350;0,3500;0,057160;0,013603;-0,043557
351;0,3510;-0,040533;-0,011099;0,029434
352;0,3520;0,020333;-0,005278;-0,025611
353;0,3530;0,042478;0,035132;-0,007346
354;0,3540;-0,017255;0,032494;0,049749
355;0,3550;0,023822;-0,022412;-0,046233
356;0,3560;0,022263;0,028345;0,006082
357;0,3570;0,017068;-0,001601;-0,018668
358;0,3580;-0,013929;-0,000135;0,013794
359;0,3590;0,032860;0,047673;0,014813
360;0,3600;-0,027730;-0,010786;0,016943
361;0,3610;0,049876;-0,013055;-0,062931
362;0,3620;0,013523;0,048199;0,034676
363;0,3630;-0,031408;-0,046910;-0,015502
364;0,3640;0,065856;0,049995;-0,015861
365;0,3650;-0,018571;0,035164;0,053735
366;0,3660;-0,000382;-0,031638;-0,031255
367;0,3670;0,056795;0,044812;-0,011983
368;0,3680;-0,024475;-0,026299;-0,001824
369;0,3690;0,045689;0,008242;-0,037447
370;0,3700;-0,008445;0,035666;0,044112
371;0,3710;-0,016542;0,003764;0,020306
372;0,3720;0,036314;0,000104;-0,036210
373;0,3730;0,037698;0,029441;-0,008257
374;0,3740;0,007601;-0,009018;-0,016619
375;0,3750;0,015538;0,009382;-0,006155
376;0,3760;-0,024006;0,041098;0,065104
377;0,3770;0,005346;-0,035457;-0,040802
378;0,3780;0,051872;0,034403;-0,017469
379;0,3790;-0,007448;0,030827;0,038275
380;0,3800;0,023629;-0,035787;-0,059416
381;0,3810;0,029799;0,057254;0,027455
382;0,3820;-0,025917;-0,017854;0,008064
383;0,3830;0,016840;0,010699;-0,006141
384;0,3840;0,008778;0,036878;0,028101
385;0,3850;0,012460;0,001185;-0,011275
386;0,3860;0,052054;0,004559;-0,047494
387;0,3870;-0,015195;0,022411;0,037606
388;0,3880;0,011907;-0,027633;-0,039540
389;0,3890;0,009513;0,013163;0,003650
390;0,3900;0,001651;0,040804;0,039153
391;0,3910;0,012493;0,006515;-0,005977
392;0,3920;0,030132;0,043871;0,013740
393;0,3930;-0,000248;-0,014875;-0,014627
394;0,3940;0,021392;-0,047545;-0,068937
395;0,3950;0,030688;0,055151;0,024463
396;0,3960;-0,054625;-0,007935;0,046690
397;0,3970;0,041912;0,011631;-0,030281
398;0,3980;0,033181;0,055460;0,022279
399;0,3990;-0,001561;-0,019532;-0,017970
400;0,4000;0,059263;0,018484;-0,040779
401;0,4010;-0,030597;-0,005033;0,025564
402;0,4020;-0,004667;-0,030965;-0,026298
403;0,4030;0,040381;0,057770;0,017389
404;0,4040;-0,019811;0,010602;0,030413
405;0,4050;0,049116;-0,002256;-0,051371
406;0,4060;0,025901;0,028357;0,002456
407;0,4070;-0,002164;0,008109;0,010274
408;0,4080;0,005163;-0,024174;-0,029337
409;0,4090;0,001046;0,027739;0,026693
410;0,4100;-0,007435;0,011347;0,018781
411;0,4110;0,076007;-0,007077;-0,083084
412;0,4120;-0,004888;0,073554;0,078442
413;0,4130;-0,036076;-0,044411;-0,008334
414;0,4140;0,071362;-0,003515;-0,074877
415;0,4150;-0,029729;0,037140;0,066869
416;0,4160;0,019880;-0,022264;-0,042145
417;0,4170;0,051846;0,065277;0,013431
418;0,4180;-0,050658;0,006098;0,056756
419;0,4190;0,065975;-0,019488;-0,085462
420;0,4200;-0,002803;0,016892;0,019694
421;0,4210;-0,028896;-0,003756;0,025141
422;0,4220;0,063242;0,010819;-0,052422
423;0,4230;-0,015198;0,046033;0,061231
424;0,4240;0,027837;-0,004029;-0,031866
425;0,4250;0,004137;0,015410;0,011273
426;0,4260;0,018201;0,011051;-0,007150
427;0,4270;-0,016915;-0,028453;-0,011538
428;0,4280;0,050545;0,037459;-0,013086
429;0,4290;-0,026578;0,028349;0,054927
430;0,4300;0,008421;-0,015475;-0,023895
431;0,4310;0,056044;0,039586;-0,016458
432;0,4320;-0,019218;-0,033159;-0,013941
433;0,4330;0,033507;0,014084;-0,019423
434;0,4340;0,003979;0,042823;0,038844
435;0,4350;-0,025541;-0,007628;0,017913
436;0,4360;0,062459;0,007913;-0,054546
437;0,4370;0,001927;0,013320;0,011393
438;0,4380;-0,005665;-0,000375;0,005290
439;0,4390;0,029471;0,016617;-0,012854
440;0,4400;-0,025968;0,015394;0,041362
441;0,4410;0,039184;-0,005150;-0,044334
442;0,4420;0,044808;0,032521;-0,012287
443;0,4430;-0,041632;0,009303;0,050935
444;0,4440;0,033242;-0,020748;-0,053990
445;0,4450;0,018332;0,041513;0,023181
446;0,4460;-0,035845;-0,000872;0,034973
447;0,4470;0,058245;-0,024044;-0,082289
448;0,4480;0,012511;0,074761;0,062250
449;0,4490;-0,011676;-0,038537;-0,026861
450;0,4500;0,070822;0,049405;-0,021417
451;0,4510;-0,069785;-0,004210;0,065574
452;0,4520;0,016741;-0,019509;-0,036250
453;0,4530;0,071027;0,022862;-0,048165
454;0,4540;-0,035336;0,027552;0,062888
455;0,4550;0,043461;0,004674;-0,038787
456;0,4560;0,011829;0,035658;0,023829
457;0,4570;-0,018151;-0,013541;0,004610
458;0,4580;0,028871;-0,019043;-0,047914
459;0,4590;-0,004109;0,056356;0,060465
460;0,4600;0,001355;-0,012863;-0,014218
461;0,4610;0,043825;0,027100;-0,016724
462;0,4620;0,021026;0,045487;0,024461
463;0,4630;-0,038087;-0,049591;-0,011504
464;0,4640;0,064423;0,010430;-0,053994
465;0,4650;-0,031577;0,048485;0,080062
466;0,4660;0,000240;-0,047654;-0,047893
467;0,4670;0,070684;0,080438;0,009754
468;0,4680;-0,026108;0,001302;0,027411
469;0,4690;0,032727;-0,014360;-0,047086
470;0,4700;0,016201;0,035031;0,018830
471;0,4710;-0,039485;-0,042685;-0,003201
472;0,4720;0,044207;0,026991;-0,017216
473;0,4730;0,012457;0,050757;0,038300
474;0,4740;0,016272;-0,000960;-0,017232
475;0,4750;0,046706;0,015792;-0,030914
476;0,4760;-0,024941;0,027076;0,052017
477;0,4770;-0,030729;-0,021294;0,009435
478;0,4780;0,054838;-0,009806;-0,064644
479;0,4790;-0,008711;0,040798;0,049510
480;0,4800;0,033295;-0,010187;-0,043482
481;0,4810;0,048463;0,046477;-0,001986
482;0,4820;-0,056708;0,035097;0,091804
483;0,4830;0,033133;-0,050480;-0,083612
484;0,4840;0,020207;0,054489;0,034283
485;0,4850;-0,044175;-0,035256;0,008919
486;0,4860;0,074017;0,028816;-0,045202
487;0,4870;0,008990;0,050941;0,041951
488;0,4880;-0,014693;-0,009353;0,005340
489;0,4890;0,044441;0,015182;-0,029260
490;0,4900;-0,021481;-0,001812;0,019669
491;0,4910;0,011951;-0,002317;-0,014268
492;0,4920;0,031687;0,034021;0,002334
493;0,4930;-0,022962;0,037998;0,060960
494;0,4940;0,020506;-0,026760;-0,047266
495;0,4950;0,055259;0,031345;-0,023914
496;0,4960;-0,039180;-0,010480;0,028700
497;0,4970;0,011720;0,003723;-0,007997
498;0,4980;0,030086;0,042876;0,012789
499;0,4990;-0,020699;-0,004591;0,016107
500;0,5000;0,061195;0,015487;-0,045708
501;0,5010;-0,009479;0,026644;0,036122
502;0,5020;-0,004528;-0,046487;-0,041959
503;0,5030;0,021997;0,057251;0,035253
504;0,5040;-0,007644;0,012942;0,020586
505;0,5050;0,030283;0,001889;-0,028394
506;0,5060;0,024874;0,023512;-0,001361
507;0,5070;-0,007202;-0,004142;0,003060
508;0,5080;0,000492;0,018044;0,017552
509;0,5090;0,036183;0,023872;-0,012311
510;0,5100;-0,036802;-0,009100;0,027701
511;0,5110;0,062867;0,004899;-0,057968
